Review_Text,Review_Text_Processed,Actual_Label,Predicted_Label,prob_Negative,prob_Neutral,prob_Positive
"giving a 4 coz i had to take a different cake, not the one which i chose",giving coz had to take different cake not the one which chose,Positive,Neutral,0.31471911709072986,0.6693388120345046,0.015942070874765568
"pesan 4 mie, ada yang pangsitnya 2 ada yang cuma 1. gak jelas banget deh",mie pangsit tidak banget,Neutral,Negative,0.5987854786977067,0.10402367889090042,0.2971908424113928
"Td nya sy request utk cancel mo ganti p�byran nya pake gopay dr ovo td nya krn ada cash back, tp nggak dicancel sm toko tetap diproses aja. Sgt m�ngecewakan.",td sy request cancel mo ganti byran pake gopay dr ovo td cash back tidak dicancel sm toko proses sgt ngecewakan,Negative,Neutral,0.37169343360519486,0.5450656724867493,0.08324089390805592
kurang bagus..kurang pas sama fotonya,bagus pas foto,Negative,Positive,0.058176906778192,0.2268664127376128,0.7149566804841953
"rasa ok. tqpi kalo boleh restonya mikirin kebersihan saat order, dengan pake cable tie. lebih siiip.",ok tqpi kalo restonya mikirin bersih pake cable tie siiip,Positive,Neutral,0.11241936923505721,0.5121440688424557,0.3754365619224872
"kemasan kotaknya ada yg penyok dan robek, tp pisaunya aman. padahal mau buat hadiah temen",kemas kotak penyok robek pisau aman hadiah temen,Neutral,Negative,0.7364300010218822,0.07546388451369723,0.1881061144644207
"Pengalaman ikut iklan, pas ada promo biaya iklan per klik 6rupiah...bayar per harinya sampe 60rb berarti 10rb klik..tapi rata2 orderan yang masuk sama aja kayak ga ikut iklan..ikut iklannya seminggu...jadi curiga itu beneran 10rb klik apa gmn..",alam iklan pas promo biaya iklan klik 6rupiah bayar hari sampe 60rb 10rb klik rata2 order kayak tidak iklan iklan minggu curiga beneran 10rb klik gmn,Neutral,Negative,0.734477100158,0.26035542715296944,0.005167472689030621
Gimana nih udah tiga hari orderan masuk tapi uang ggak masuk di bank atau pada pencairan dana digobiz,gimana udah order uang ggak bank cair dana digobiz,Neutral,Negative,0.5551766279564796,0.4368199792670343,0.00800339277648622
"sekarang makin bertingkah driver yang ada disini,begitu pula sistem gojeknya juga lemot dalam mencari driver,terutama saat go food waktu sehabis hujan,hujan sudah lama berhenti tapi lelet banget nyari drivernya,kalo hujan masih deras saya maklumin,ini hujan sudah berhenti sejam lalu,tapi masih saja bertingkah ketika saya pesan gofood",ting driver sistem gojek lot cari driver go food waktu habis hujan hujan henti lelet banget nyari drivernya kalo hujan deras maklumin hujan henti jam ting gofood,Positive,Negative,0.5948367147123421,0.397792193849873,0.007371091437784751
"Kok ga bisa pesan antar sih sekarang aneh, lagi liburan kah.",tidak aneh libur kah,Neutral,Negative,0.5442076919077722,0.4461852530715626,0.009607055020665336
tekstur mienya ada yang masih mentah,tekstur mienya mentah,Negative,Positive,0.29324843244092186,0.19628374715966349,0.5104678203994147
Semakin diupdate ko semakin sepi orderan dan bunyi terus tapi tidak ada pesan masuk..,diupdate ko sepi order bunyi tidak,Negative,Neutral,0.4114286153240127,0.5869869904243789,0.001584394251608475
"metode pakai double order, bikin LAMA SAMPAI MAKANANNYA, KEBURU LAPAARR !!!!",metode pakai double bikin makan keburu lapaarr,Negative,Neutral,0.2562880620736983,0.6298086878603248,0.11390325006597683
"harus nya iklan di bayar saat ada pesenan,gimana resto mau berkembang,KL pesenan ga ada,bayar iklan berjalan aja..",iklan bayar sen gimana resto kembang kl sen tidak bayar iklan jalan,Negative,Neutral,0.3777904471425592,0.61866965703569,0.003539895821750698
potongan shopeefood makin naik aja hampir 30%... wkwkwk tolong direvisi lagi bosku..,potong shopeefood wkwkwk tolong revisi bos,Negative,Neutral,0.2821355076776298,0.6964852803740288,0.02137921194834141
"Mohon tingkatkan kembali aplikasi, untuk notifikasi selalu tidak muncul / berbunyi, sinyal bagus, pengaturan telepon sudah sesuai, kenapa notifikasi bisa tidak muncul, sebaiknya jangan dulu menerapkan konfirmasi pesanan masuk manual jika aplikasi masih banyak kendala, konsekuensi terbesar akan kehilangan konsumen dan mitra akan kehilangan kepercayaan kepada shopee partner. Semoga secepatnya bisa di perbaiki. Terima kasih.",tingkat aplikasi notifikasi tidak muncul bunyi sinyal bagus atur telepon sesuai notifikasi tidak muncul jangan terap konfirmasi pesan manual aplikasi kendala konsekuensi besar hilang konsumen mitra hilang percaya shopee partner moga cepat baik kasih,Negative,Neutral,0.4926002980513437,0.5056002663797432,0.001799435568913167
"untuk pemesanan grab car / motor oke bagus , tapi untuk grab food selalu mengecewakan dan di persulit untuk pemesanan food nya , tolong di tingkatkan lagi , apalagi untuk pembayaran tunai",mesan grab car motor oke bagus grab food kecewa sulit mesan food tolong tingkat bayar tunai,Negative,Neutral,0.16433946817633868,0.8038309767425331,0.03182955508112818
