Review_Text,Review_Date,Rating_Score,Platform_Source,Sentiment_Label,Review_Aspect,Crisis_Flag,Business_Category,Is_Sarcasm
alhamdulillah berfungsi dengan baik packaging aman respon cepat dan ramah seller dan kurir amanah,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
barang bagus dan respon cepat harga bersaing dengan yg lain,unknown,5,Tokopedia,Positive,Harga,No,Elektronik,No
barang bagus berfungsi dengan baik seler ramah pengiriman cepat,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
bagus sesuai harapan penjual nya juga ramah trimakasih pelapak,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
barang bagus pengemasan aman dapat berfungsi dengan baik,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
barang bagus seller ramah,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
mantap paten joss,unknown,5,Tokopedia,Positive,Rasa,No,Elektronik,No
works fine respon seller cepat barang berfungsi dengan baik recommended,unknown,5,Tokopedia,Positive,Lainnya,No,Elektronik,No
barang bagus segel utuh original berfungsi dengan bener seller respon nya ajib cepat amir uda gt kasi sarannya pas banget lg dengan kebutuhan mantabbb,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
barang datang dan berfungsi dengan baik dan terlihat bagus kali ada lampu birunya,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
pengiriman super cepat barang bagus recommended seller thanks,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
alhamdulillah barangnya udah nyampe d coba bagus semoga awet terima kasih seller kurir dan tokopedia,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
penjual amanah responsif kabel berfungsi baik pengiriman cepat terima kasih,unknown,5,Tokopedia,Positive,Lainnya,No,Elektronik,No
alhamdulillah barang sudah sampai bisa dipakai semoga berfungsi dengan baik dan awet kurirnya baik smoga rezekinya lancar terus,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
