Review_Text,Review_Date,Rating_Score,Platform_Source,Sentiment_Label,Review_Aspect,Crisis_Flag,Business_Category,Is_Sarcasm,Review_Text_Preprocessed
"Tempatnya sangat nyaman, harga terjangakaulahhh",setahun lalu,4,Google Maps,Positive,Harga,No,F&B,No,tempat nyaman harga terjangakaulahhh
Good ambience! Good service! Makanan nya enak enak ^^ thank you,3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,good ambience good service makan thank you
Tempat dan makanan oke..,setahun lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,makan oke
Tempat nya enak adem bersih .menu makanan nya banyak pilihan &enak,5 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,adem bersih menu makan pilih
Baguss... Nyaman dan enak...,setahun lalu,4,Google Maps,Positive,Rasa,No,F&B,No,baguss nyaman
"Saus terbaru atah hejo sangat rekomend, utuk pelayanan maya ramah",2 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,saus baru atah hejo rekomend utuk layan maya ramah
makanannya mantap.. dan staf nya ramah pak yusuf susanto,3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan mantap staf ramah yusuf susanto
"Untuk makanan nya enak tempat nya nyaman, mba adel ramah",5 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan nyaman mba adel ramah
Makanannya enak dan Pelayanannya Mas Fakha sangat baik & helpfull Makasih Aroem,setahun lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan layan mas fakha helpfull makasih aroem
"makanan nya enak, tempat nya bersih dan suasana nya nyaman👍 …",11 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan bersih suasana nyaman
"Makanan enak, mantap tempat nyaman pelayanan juga cepat mba maya",2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan mantap nyaman layan cepat mba maya
suasana nyaman...mushola bersih,setahun lalu,5,Google Maps,Positive,Bentuk,No,F&B,No,suasana nyaman mushola bersih
Tempatnya luas,8 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,tempat luas
Makanannya selalu enak. Mas aryo mantaappp ((pelayanannya)),10 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan mas aryo mantaappp layan
"All good, pelayanan oke, makanan enak, sarah",3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,all good layan oke makan sarah
"Tempatnya enak, nyaman untuk makan bersama keluarga…❤️❤️❤️",3 bulan lalu,3,Google Maps,Neutral,Rasa,No,F&B,No,tempat nyaman makan keluarga
"Makanannya mantap dan cepat. Ga diragukan lagi, gas kesini. Pelayanan rere maya",3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan mantap cepat ragu gas kesini layan rere maya
Makanannya enak2. Fresh semua lauk nya. Penyajiannya jg cpt.,4 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan enak2 fresh lauk saji jg cpt
Enak dan nyaman. Mantul bgt,setahun lalu,5,Google Maps,Positive,Rasa,No,F&B,No,nyaman mantul banget
Makanannya enak semua dan tempatnya jg bgs dan nyaman…🤤🤤 …,setahun lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan tempat jg bgs nyaman
Mantap,setahun lalu,5,Google Maps,Positive,Rasa,No,F&B,No,mantap
Tempat ijab Qabul nya Razi n disty,7 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,ijab qabul razi disty
makanannya sangat enak dan pelayanan sangat bagus mba maya,3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan layan bagus mba maya
"tempatnya comfy, pelayanannya bagus, nyaman",7 bulan lalu,5,Google Maps,Positive,Bentuk,No,F&B,No,tempat comfy layan bagus nyaman
Mantaap,6 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,mantaap
"mie acehnya enakk⭐️⭐️⭐️⭐️⭐️ suasanya cozyyy, ajak keluarga worth ittt👍🏽👍🏽👍🏽 …",11 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,mie acehnya enakk suasa cozyyy ajak keluarga worth ittt
makananannya enakkkk pelayanannya baguss,8 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makananannya enakkkk layan baguss
"Tempat nya enak nyaman,makanan dan minumannya enak",2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,nyaman makan minum
"Makanannya enak, pelayanannya bagus cepat, dibantu pelayanan dengan bang iman",setahun lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan layan bagus cepat bantu layan bang iman
"Untuk makanan enak bangetttt, pelayanan ramahhhh, top mas ekaaa",3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan bangetttt layan ramahhhh top mas ekaaa
Makanan enak ada plyground Eaiternya ramah Mas iman ok,setahun lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan plyground eaiternya ramah mas iman ok
Makanannya enak..pelayanan oke,5 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan layan oke
"Rasanya mantap, pelayanan cepat, Hiburannya juga oke",5 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,mantap layan cepat hibur oke
"Tempat bagus, pelayanan bagus, makanan enak",6 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,bagus layan bagus makan
